Event	ID	Name			Wwise Object Path	Notes
	42433307	Play_BossProjectileHit			\Default Work Unit\Play_BossProjectileHit	
	93248917	Play_PlayerSwordGrow			\Default Work Unit\Play_PlayerSwordGrow	
	153638151	Play_BossBattle			\Default Work Unit\Play_BossBattle	
	162522213	Play_EnemyFireball			\Default Work Unit\Play_EnemyFireball	
	201807964	Play_FireTigerHurtRoar			\Default Work Unit\Play_FireTigerHurtRoar	
	268692114	Play_IceAura			\Default Work Unit\Play_IceAura	
	278617630	Play_Ambience			\Default Work Unit\Play_Ambience	
	513571230	Play_Combat			\Default Work Unit\Play_Combat	
	516602709	Play_BigSwordDrag			\Default Work Unit\Play_BigSwordDrag	
	524979589	Play_Stage1_Freeze			\Default Work Unit\Play_Stage1_Freeze	
	606945166	Play_Player_Attack_Vox			\Default Work Unit\Play_Player_Attack_Vox	
	913896232	Stop_Combat			\Default Work Unit\Stop_Combat	
	923355438	Play_EnemyAttackCry			\Default Work Unit\Play_EnemyAttackCry	
	978409677	Play_FireTigerBite			\Default Work Unit\Play_FireTigerBite	
	1177496478	Play_Player_Jump_Vox			\Default Work Unit\Play_Player_Jump_Vox	
	1238801504	Play_SmallSwordSwing			\Default Work Unit\Play_SmallSwordSwing	
	1310873743	Play_FireTigerAttackRoar			\Default Work Unit\Play_FireTigerAttackRoar	
	1388893229	Play_Player_Hit_Vox			\Default Work Unit\Play_Player_Hit_Vox	
	1516146351	Play_IceAuraFreeze			\Default Work Unit\Play_IceAuraFreeze	
	1592819191	Play_PlayerFootstep			\Default Work Unit\Play_PlayerFootstep	
	1710694676	Play_EnemyIdleCry			\Default Work Unit\Play_EnemyIdleCry	
	1761942167	Play_BigSwordSwing			\Default Work Unit\Play_BigSwordSwing	
	1980244072	Play_FireTigerFootsteps			\Default Work Unit\Play_FireTigerFootsteps	
	2050525748	Play_BossProjectile			\Default Work Unit\Play_BossProjectile	
	2344515640	Play_Player_Die_Vox			\Default Work Unit\Play_Player_Die_Vox	
	2707922347	Stop_BigSwordDrag			\Default Work Unit\Stop_BigSwordDrag	
	2729937127	Play_BossBite			\Default Work Unit\Play_BossBite	
	2872645466	Play_PlayerLanding			\Default Work Unit\Play_PlayerLanding	
	2962822744	Play_Checkpoint			\Default Work Unit\Play_Checkpoint	
	3101974183	Play_EnemyHitCry			\Default Work Unit\Play_EnemyHitCry	
	3232321306	Play_BossTigerRoar			\Default Work Unit\Play_BossTigerRoar	
	3765695918	Play_Heartbeat			\Default Work Unit\Play_Heartbeat	
	3798153045	Play_FireTigerIdleRoar			\Default Work Unit\Play_FireTigerIdleRoar	
	3817990921	Play_PlayerJump			\Default Work Unit\Play_PlayerJump	
	3939144723	Play_Treasure_Chest			\Default Work Unit\Play_Treasure_Chest	
	3959107170	Play_BigSwordHit			\Default Work Unit\Play_BigSwordHit	
	4187859053	Play_SmallSwordHit			\Default Work Unit\Play_SmallSwordHit	

Switch Group	ID	Name			Wwise Object Path	Notes
	214305155	PlayerLanding			\Default Work Unit\PlayerLanding	
	3542290436	PlayerFootstep			\Default Work Unit\PlayerFootstep	

Switch	ID	Name	Switch Group			Notes
	1216965916	Stone	PlayerLanding			
	2058049674	Wood	PlayerLanding			
	2195636714	Dirt	PlayerLanding			
	4248645337	Grass	PlayerLanding			
	1216965916	Stone	PlayerFootstep			
	2058049674	Wood	PlayerFootstep			
	2195636714	Dirt	PlayerFootstep			
	4248645337	Grass	PlayerFootstep			

Effect plug-ins	ID	Name	Type				Notes
	881116499	Peak Limiter (Custom)	Wwise Peak Limiter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8421383	FS Boss B 108 BPM D Min Choir	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\FS Boss B 108 BPM D Min Choir_56CEF360.wem		\Interactive Music Hierarchy\Music\BossBattle\Boss B\FS Boss B 108 BPM D Min Choir		594128
	23606703	IceAuraFreeze4	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\IceAuraFreeze\IceAuraFreeze4_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\IceAuraFreeze\IceAuraFreeze4		108588
	28355198	Big Sword Hit 4	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\Big Sword Hit\Big Sword Hit 4_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\BigSwordHit\Big Sword Hit 4		82330
	31955929	Player Landing Stone 3	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\Player Landing Stone\Player Landing Stone 3_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerLanding\Player Landing Stone\Player Landing Stone 3		25650
	32730288	Player Footstep Stone 10	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\Player Footstep Stone 10_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerFootstep\Player FootstepStone\PlayerFootstepStoneR\Player Footstep Stone 10		23180
	33099968	FS Combat C 108 BPM D Min Choir 2	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\Combat C\FS Combat C 108 BPM D Min Choir 2_56CEF360.wem		\Interactive Music Hierarchy\Music\Combat\Combat C\FS Combat C 108 BPM D Min Choir 2		239557
	33950063	Small Sword Hit 3	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\Small Sword Hit\Small Sword Hit 3_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SmallSwordHit\Small Sword Hit 3		28922
	36183097	FS Combat A 108 BPM D Min Pluck String	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\Combat A\FS Combat A 108 BPM D Min Pluck String_56CEF360.wem		\Interactive Music Hierarchy\Music\Combat\Combat A\FS Combat A 108 BPM D Min Pluck String		475483
	45434428	Big Sword Swing 6	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\Big Sword Swing\Big Sword Swing 6_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\BigSwordSwing\Big Sword Swing 6		75474
	53341151	Treasure Chest Open 3	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\Treasure Chest Open 3_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Treasure Chest\Treasure Chest Open 3		97516
	54151302	FS Boss A 108 BPM D Min Drums	Y:\Documents\GitHub\Frostblade-Saga\Frostblade-Saga_WwiseProject\.cache\Mac\SFX\FS Boss A 108 BPM D Min Drums_56CEF360.wem		\Interactive Music Hierarchy\Music\BossBattle\Boss A\FS Boss A 108 BPM D Min Drums		478698
